uid,ranking,uniname,Total Score,alumni,award,HiCi,N&S,PUB,PCP
1,1,Harvard University,100,100,100,100,100,100,73.6
2,2,University of Cambridge,72.6,96.3,91.5,53.8,59.5,67.1,66.5
3,3,Stanford University,72.5,39.7,70.7,88.4,70,71.4,65.3
4,4,"University of California, Berkeley",72.1,70.6,74.5,70.5,72.2,71.9,53.1
5,5,Massachusetts Institute of Technology (MIT),69.7,72.9,80.6,66.6,66.4,62.2,53.6
6,6,California Institute of Technology,66,57.1,69.1,59.1,64.5,50.1,100
7,7,Columbia University,61.8,78.2,59.4,56,53.6,69.8,45.8
8,8,Princeton University,58.6,61.1,75.3,59.6,43.5,47.3,58
9,8,University of Chicago,58.6,72.9,80.2,49.9,43.7,54.1,41.8
10,10,University of Oxford,57.6,62,57.9,48,54.3,66,46
11,11,Yale University,55.9,50.3,43.6,59.1,56.6,63,49.3
12,12,Cornell University,54.1,44.9,51.3,56,48.4,65.2,40.1
13,13,"University of California, San Diego",50.5,17.1,34,59.6,54.8,65.6,47.1
14,14,"University of California, Los Angeles",50.4,26.4,32.1,57.6,47.5,77.3,34.9
15,15,University of Pennsylvania,50.1,34.2,34.4,57,41.7,73.6,40
16,16,University of Wisconsin - Madison,48.8,41.5,35.5,53.3,45.1,68.3,29.3
17,17,University of Washington,48.5,27.7,31.8,53.3,47.6,75.5,27.8
18,18,"University of California, San Francisco",47.7,0,36.8,55.5,54.8,61.1,48.2
19,19,The University of Tokyo,46.7,34.8,14.1,41.4,51.5,85.5,35.2
20,20,The Johns Hopkins University,46.6,49.5,27.8,40.7,52.2,68.8,25.3
21,21,University of Michigan - Ann Arbor,44.5,41.5,0,61.5,41.6,76.9,31.2
22,22,Kyoto University,43.9,38.3,33.4,36.9,36.2,72.4,31.7
23,23,"The Imperial College of Science, Technology and Medicine",43.4,20.1,37.4,40,39.7,64.2,40.2
24,24,University of Toronto,42.8,27.1,19.3,38.5,36.5,78.3,44.8
25,25,University of Illinois at Urbana-Champaign,42.5,40.1,36.6,45.5,33.6,57.7,26.3
26,26,University College London,42.2,29.6,32.2,38.5,43.2,60,33.4
27,27,Swiss Federal Institute of Technology Zurich,41.2,38.8,36.3,35.3,39.9,43.5,52.6
28,28,Washington University in St. Louis,40.4,24.2,26,37.7,45.6,55.3,40.4
29,29,New York University,38.4,36.8,24.5,42.8,34,54,26.4
30,30,Rockefeller University,38.3,21.8,58.6,28.8,44.8,24.1,38.4
31,31,Duke University,38.2,20.1,0,48,45.4,62.4,40.3
32,32,"University of Minnesota, Twin Cities",37.8,34.8,0,50.4,34.1,69.7,24.3
33,33,Northwestern University,37.6,21,18.9,44.9,33.6,57.1,36.7
34,34,University of Colorado at Boulder,36.4,16,30.8,40,37,46.4,30.1
35,35,"University of California, Santa Barbara",36.1,0,35.3,42.1,37,43.7,35.7
36,36,University of British Columbia,35.5,20.1,18.9,31.7,31.9,62.1,36.6
37,37,"University of Maryland, College Park",35.4,25,20,40,32.7,53.8,26.4
38,38,The University of Texas Southwestern Medical Center at Dallas,35.2,23.4,33.2,31.7,38.1,39.8,33.5
39,39,The University of Texas at Austin,34.9,21,16.7,48,28.3,55.4,21.8
40,40,Utrecht University,33.4,29.6,20.9,28.8,27.5,57.3,26.9
41,41,Vanderbilt University,33.2,12.1,29.6,32.6,24.7,50.6,36.2
42,42,Pennsylvania State University - University Park,32.7,13.5,0,44.9,37.7,58,23.8
43,42,"University of California, Davis",32.7,0,0,47.4,33.3,63.3,30.1
44,44,"University of California, Irvine",32.6,0,29.4,35.3,28.9,49,32.4
45,45,Pierre and Marie  Curie University - Paris 6,32.4,34.4,23.5,23.1,24.9,52.9,32.5
46,46,"Rutgers, The State University of New Jersey - New Brunswick",32.3,14.8,20,38.5,32.7,46.5,24.6
47,47,University of Southern California,32,0,26.8,37.7,24.1,54,26.6
48,48,Karolinska Institute,31.9,29.6,27.3,33.5,18,48.7,25.6
49,48,University of Pittsburgh,31.9,24.2,0,40,24,65,28.6
50,50,The University of Manchester,31.7,26.4,18.9,24.3,24.9,58.7,28.7
51,51,University of Munich,31.5,35.8,22.9,15.4,28,52.9,32.2
52,52,The University of Edinburgh,31.4,21.8,16.7,25.5,35.4,49.3,30.3
53,53,University of Florida,31,21.8,0,36.1,25.1,65.6,26.7
54,54,Technical University Munich,30.8,41.5,23.6,24.3,19.5,46.2,30.7
55,54,The Australian National University,30.8,17.1,12.6,37.7,30.1,44.4,32.8
56,56,Carnegie Mellon University,30.5,33.7,32.8,32.6,12.7,37.5,31.8
57,56,University of Copenhagen,30.5,29.6,24.2,23.1,24.8,46.4,30
58,58,University of Zurich,30.4,12.1,26.8,21.8,29.7,47.9,31.4
59,59,University of North Carolina at Chapel Hill,30.3,12.1,0,37.7,29.3,60.3,27.9
60,60,The Hebrew University of Jerusalem,30,32,20,25.5,25.2,44.7,29.5
61,61,Osaka University,29.6,12.1,0,25.5,30.7,67,29.9
62,62,McGill University,29.5,27.7,0,30.8,22.4,59.7,33.5
63,62,University of Bristol,29.5,10.5,17.9,29.8,26.3,47.8,33.2
64,64,University of Paris Sud (Paris 11),29.4,32,33.5,13.3,20.8,44.7,29.7
65,65,Uppsala University,29.3,25,32.2,13.3,24.6,49.3,21.5
66,66,The Ohio State University - Columbus,29,17.1,0,40.7,20.6,61.3,19.7
67,66,University of Heidelberg,29,19.1,27.2,18.8,21.5,49.5,29.5
68,68,University of Oslo,28.6,25,33.4,18.8,17.7,42.7,28.5
69,69,The University of Sheffield,28.5,22.6,14.1,23.1,29.2,45.8,30.2
70,70,Case Western Reserve University,27.9,39.2,11.5,21.8,22,43.9,33.6
71,70,Moscow State University,27.9,49.5,34.2,0,5.6,54.3,33.4
72,72,Leiden University,27.8,24.2,15.5,28.8,18.9,46,28.5
73,73,Purdue University - West Lafayette,27.7,18.2,16.7,27.7,20.7,50.6,19.9
74,74,University of Helsinki,27.6,18.2,17.9,20.4,19.2,53.4,29.2
75,74,University of Rochester,27.6,32,8.9,26.6,21.6,43.3,35.6
