uid,ranking,uniname,Total Score,alumni,award,HiCi,N&S,PUB,PCP
1,1,Harvard University,100.0,100.0,100.0,100.0,100.0,100.0,79.5
2,2,Stanford University,76.5,44.5,88.5,87.3,74.4,73.7,56.8
3,3,University of Cambridge,70.9,81.4,95.4,54.6,57.3,69.8,59.1
4,4,Massachusetts Institute of Technology (MIT),70.4,68.7,82.3,56.7,72.4,63.5,70.8
5,5,"University of California, Berkeley",69.1,64.4,78.4,63.6,68.1,66.7,58.7
6,6,Princeton University,61.1,54.4,97.9,47.6,46.6,43.3,73.5
7,7,University of Oxford,60.1,50.8,54.2,62.7,52.5,75.8,47.2
8,8,Columbia University,58.8,62.8,65.1,50.0,53.8,70.3,34.3
9,9,California Institute of Technology,57.3,50.5,65.8,39.3,56.0,44.0,100.0
10,10,University of Chicago,53.9,59.2,85.1,36.2,41.1,50.3,43.1
11,11,Yale University,52.8,47.1,49.7,48.8,57.1,61.0,37.2
12,12,"University of California, Los Angeles",52.5,29.2,46.4,63.6,44.9,70.9,33.6
13,13,University of Washington,50.3,20.9,37.4,56.7,51.2,74.3,32.7
14,14,Cornell University,49.6,43.1,49.1,43.6,46.1,61.1,42.6
15,15,"University of California, San Diego",49.5,19.0,35.1,58.8,56.4,63.7,38.3
16,16,University College London,47.1,27.8,35.8,47.6,39.6,77.0,33.5
17,17,University of Pennsylvania,46.0,31.3,33.4,50.0,38.7,68.0,39.5
18,18,Johns Hopkins University,45.7,37.3,33.2,40.8,42.8,73.3,30.0
19,19,Swiss Federal Institute of Technology Zurich,44.1,29.2,35.1,36.2,49.5,56.9,47.4
20,20,Washington University in St. Louis,43.3,22.7,24.6,60.7,43.3,52.0,40.0
21,21,"University of California, San Francisco",42.4,0.0,39.4,39.3,50.8,61.4,33.3
22,22,Northwestern University,41.9,15.2,27.6,59.8,34.1,59.3,34.3
23,23,University of Toronto,41.6,19.7,17.0,40.8,39.6,80.6,31.7
24,24,The University of Tokyo,41.5,38.3,25.0,28.9,45.2,70.3,29.5
25,24,University of Michigan-Ann Arbor,41.5,34.1,0.0,54.6,40.7,77.9,26.0
26,26,Duke University,41.0,15.2,19.0,61.7,37.8,61.5,26.5
27,27,Imperial College London,40.9,14.4,35.4,42.3,30.9,64.8,39.5
28,28,University of Wisconsin - Madison,39.7,32.5,34.3,34.5,33.4,63.5,24.5
29,29,New York University,38.6,29.6,31.5,34.5,38.4,58.9,21.6
30,30,University of Copenhagen,38.5,21.5,18.6,34.5,36.6,66.7,43.1
31,31,University of British Columbia,37.7,15.2,18.6,47.6,31.2,65.6,28.4
32,32,The University of Edinburgh,37.0,24.3,24.6,46.3,29.7,53.8,29.0
33,33,University of North Carolina at Chapel Hill,36.9,8.8,23.4,42.3,31.8,61.5,35.2
34,34,"University of Minnesota, Twin Cities",36.8,29.2,16.1,39.3,33.1,65.2,24.1
35,35,Kyoto University,36.7,31.3,36.7,24.4,31.8,59.3,23.8
36,36,Rockefeller University,36.6,16.8,59.0,30.9,41.1,19.6,40.5
37,37,University of Illinois at Urbana-Champaign,36.2,29.6,35.8,24.4,30.8,57.4,28.1
38,38,The University of Manchester,36.1,18.3,32.2,32.7,28.7,59.7,28.8
39,39,The University of Melbourne,35.9,16.8,13.1,45.0,22.8,69.7,33.9
40,40,Pierre and Marie  Curie University - Paris 6,35.5,33.3,27.1,24.4,28.0,62.9,29.5
41,41,University of Paris-Sud (Paris 11),35.0,30.0,53.6,18.9,18.7,48.6,33.2
42,42,Heidelberg University,34.8,19.7,25.0,34.5,28.8,53.6,37.5
43,43,University of Colorado at Boulder,34.7,12.4,33.6,28.9,37.1,46.6,34.8
44,44,Karolinska Institute,33.3,25.4,26.3,24.4,23.7,53.3,45.8
45,45,"University of California, Santa Barbara",33.2,14.4,38.6,32.7,26.7,38.3,38.0
46,46,King's College London,33.1,20.9,20.8,39.3,21.1,56.1,29.0
47,47,Utrecht University,33.0,22.7,19.7,40.8,26.7,47.7,31.1
48,48,The University of Texas Southwestern Medical Center at Dallas,32.8,18.3,34.0,28.9,39.4,35.6,27.2
49,48,Tsinghua University,32.8,10.2,0.0,37.8,35.2,70.3,25.1
50,50,Technical University Munich,32.7,34.4,21.3,28.9,23.4,51.7,35.5
51,51,The University of Texas at Austin,32.5,16.1,16.1,28.9,35.9,56.9,26.9
52,52,Vanderbilt University,32.0,15.2,28.6,36.2,21.6,51.9,21.4
53,53,"University of Maryland, College Park",31.8,19.0,19.7,26.7,31.9,53.6,28.2
54,54,University of Southern California,31.7,0.0,31.3,36.2,20.8,54.0,25.5
55,55,The University of Queensland,31.6,12.4,0.0,40.8,25.6,64.8,34.9
56,56,University of Helsinki,31.5,18.3,20.8,30.9,22.6,53.5,34.9
57,57,University of Munich,31.4,25.4,18.9,21.8,31.6,51.7,34.5
58,58,University of Zurich,31.3,5.1,23.7,28.9,28.2,53.1,33.6
59,59,University of Groningen,31.1,13.4,25.2,28.9,19.5,54.5,35.6
60,60,University of Geneva,31.0,26.9,27.9,26.7,27.5,39.9,33.0
61,61,University of Bristol,30.1,7.2,16.1,30.9,33.3,47.7,31.5
62,62,University of Oslo,29.9,27.8,32.2,15.4,18.0,52.7,28.7
63,63,Uppsala University,29.8,17.6,27.1,18.9,25.0,51.6,29.3
64,64,"University of California, Irvine",29.4,0.0,28.9,30.9,24.2,46.8,26.8
65,65,Aarhus University,29.1,11.4,21.8,18.9,24.8,54.5,33.3
66,66,McMaster University,29.0,12.4,18.6,42.3,12.9,45.0,34.3
67,67,McGill University,28.9,32.5,0.0,24.4,27.1,60.2,27.1
68,68,"University of Pittsburgh, Pittsburgh Campus",28.7,18.3,0.0,42.3,19.0,60.3,19.9
69,69,Ecole Normale Superieure - Paris,28.6,48.4,27.6,0.0,18.3,28.3,83.1
70,69,Ghent University,28.6,5.1,13.1,30.9,17.6,58.5,35.2
71,71,Mayo Medical School,28.5,0.0,0.0,55.6,15.2,49.9,37.9
72,71,Peking University,28.5,11.4,0.0,26.7,27.0,68.4,23.4
73,73,Erasmus University Rotterdam,28.4,0.0,14.7,54.6,14.2,34.3,42.9
74,74,Rice University,28.2,16.1,21.4,39.3,18.5,30.9,39.5
75,74,Stockholm University,28.2,23.8,27.1,21.8,21.2,41.8,28.2
76,76,Swiss Federal Institute of Technology Lausanne,28.1,0.0,0.0,39.3,33.0,42.6,45.7
77,77,Purdue University - West Lafayette,28.0,13.4,22.8,18.9,25.4,51.5,23.7
78,78,Monash University,27.9,0.0,0.0,37.8,22.8,60.5,30.9
79,79,"Rutgers, The State University of New Jersey - New Brunswick",27.8,10.2,18.6,34.5,25.2,43.4,18.6
80,80,Boston University,27.7,11.4,11.4,30.9,24.7,51.2,23.9
81,80,Carnegie Mellon University,27.7,31.3,31.2,24.4,14.1,34.9,30.9
82,80,The Ohio State University - Columbus,27.7,12.4,0.0,36.2,21.2,62.5,19.3
83,83,University of Sydney,27.5,14.4,0.0,28.9,18.2,66.4,28.4
84,84,Nagoya University,27.2,28.7,25.0,18.9,18.3,44.3,24.7
85,85,Georgia Institute of Technology,27.1,12.4,0.0,40.8,24.3,44.8,33.1
86,85,Pennsylvania State University - University Park,27.1,10.2,0.0,32.7,28.6,54.4,24.1
87,85,"University of California, Davis",27.1,0.0,0.0,30.9,31.2,58.6,24.8
88,88,Leiden University,27.0,17.6,9.3,26.7,20.7,50.6,32.8
89,88,University of Florida,27.0,16.8,0.0,30.9,19.5,61.0,24.4
90,90,KU Leuven,26.9,0.0,0.0,34.5,22.9,58.6,31.1
91,91,National University of Singapore,26.8,0.0,0.0,32.7,20.6,60.1,35.5
92,91,The University of Western Australia,26.8,13.4,13.9,28.9,15.8,49.5,33.1
93,93,Moscow State University,26.6,40.9,32.6,0.0,8.9,51.6,33.8
94,93,Technion-Israel Institute of Technology,26.6,23.3,37.2,15.4,18.7,33.0,28.6
95,95,University of Basel,26.3,19.0,16.1,18.9,25.5,40.1,37.4
96,95,University of Goettingen,26.3,30.5,14.7,24.4,22.1,38.5,28.3
97,97,The Australian National University,26.1,13.4,19.0,15.4,24.5,47.2,30.5
98,98,"University of California, Santa Cruz",26.0,0.0,0.0,47.6,29.5,29.1,42.1
99,99,Cardiff University,25.9,0.0,16.1,36.2,17.3,43.0,28.6
100,99,University of Arizona,25.9,14.4,0.0,30.9,27.3,49.0,24.7
101,101-150,Aix Marseille University,0.0,13.4,0.0,24.4,25.9,52.4,19.5
102,101-150,Arizona State University,0.0,0.0,19.7,21.8,22.5,44.9,22.9
103,101-150,Baylor College of Medicine,0.0,0.0,0.0,26.7,30.7,42.2,19.7
104,101-150,Brown University,0.0,14.4,19.7,15.4,19.9,44.5,33.4
105,101-150,Case Western Reserve University,0.0,30.0,10.7,21.8,17.9,39.5,24.9
106,101-150,Catholic University of Louvain,0.0,10.2,13.1,26.7,9.9,35.7,29.4
107,101-150,Emory University,0.0,0.0,0.0,32.7,22.1,52.3,23.3
108,101-150,Fudan University,0.0,0.0,0.0,24.4,14.8,61.1,23.4
109,101-150,Icahn School of Medicine at Mount Sinai,0.0,0.0,0.0,45.0,24.2,39.5,21.1
110,101-150,Indiana University Bloomington,0.0,10.2,21.3,21.8,18.0,40.3,20.8
111,101-150,King Abdulaziz University,0.0,0.0,0.0,52.3,11.0,46.4,18.0
112,101-150,King Saud University,0.0,0.0,0.0,45.0,3.9,48.2,18.3
113,101-150,Lund University,0.0,20.9,0.0,15.4,18.0,52.3,23.1
114,101-150,Michigan State University,0.0,8.8,0.0,26.7,24.2,52.7,19.9
115,101-150,Nanyang Technological University,0.0,0.0,0.0,37.8,14.9,53.3,33.3
116,101-150,Norwegian University of Science and Technology - NTNU,0.0,13.4,20.8,15.4,13.5,39.9,22.7
117,101-150,Osaka University,0.0,8.8,0.0,30.9,23.6,50.9,22.2
118,101-150,Radboud University Nijmegen,0.0,16.1,0.0,15.4,19.5,51.7,35.0
119,101-150,Seoul National University,0.0,0.0,0.0,18.9,17.2,69.1,23.8
120,101-150,Shanghai Jiao Tong University,0.0,0.0,0.0,15.4,11.3,74.4,26.4
121,101-150,Texas A&M University,0.0,0.0,0.0,28.9,17.8,52.0,19.2
122,101-150,The Hebrew University of Jerusalem,0.0,31.7,27.9,10.9,17.7,38.5,28.1
123,101-150,The University of Adelaide,0.0,14.4,0.0,26.7,13.8,45.5,30.9
124,101-150,The University of Glasgow,0.0,7.2,0.0,28.9,18.9,43.1,24.8
125,101-150,The University of Hong Kong,0.0,0.0,0.0,34.5,13.4,45.9,28.1
126,101-150,The University of New South Wales,0.0,0.0,0.0,18.9,19.2,62.1,25.2
127,101-150,The University of Sheffield,0.0,17.6,13.1,18.9,17.1,45.9,23.5
128,101-150,The University of Texas M. D. Anderson Cancer Center,0.0,0.0,0.0,36.2,20.6,41.5,50.5
129,101-150,Tohoku University,0.0,14.4,0.0,18.9,18.1,51.4,21.6
130,101-150,University of Alberta,0.0,11.4,0.0,24.4,17.7,56.6,24.5
131,101-150,University of Amsterdam,0.0,5.1,0.0,30.9,20.4,53.5,30.7
132,101-150,University of Bern,0.0,12.4,0.0,32.7,24.8,43.0,34.8
133,101-150,University of Birmingham,0.0,18.3,9.3,28.9,12.4,46.7,24.2
134,101-150,University of Bonn,0.0,15.2,19.5,24.4,20.5,39.1,27.4
135,101-150,University of Frankfurt,0.0,30.0,0.0,26.7,20.2,37.5,27.1
136,101-150,University of Freiburg,0.0,18.3,18.6,18.9,17.4,38.8,25.7
137,101-150,University of Leeds,0.0,16.8,0.0,32.7,20.5,44.9,24.3
138,101-150,University of Liverpool,0.0,16.8,13.1,15.4,19.4,43.9,24.8
139,101-150,University of Nottingham,0.0,11.4,19.7,24.4,14.8,47.9,22.1
140,101-150,University of Rochester,0.0,24.3,7.6,18.9,18.6,39.1,20.3
141,101-150,University of Science and Technology of China,0.0,0.0,0.0,18.9,18.6,56.0,27.0
142,101-150,University of Southampton,0.0,0.0,0.0,28.9,22.2,48.8,26.2
143,101-150,University of Strasbourg,0.0,28.3,33.1,0.0,17.1,37.4,21.8
144,101-150,University of Utah,0.0,0.0,11.4,26.7,25.7,49.0,24.0
145,101-150,University of Wageningen,0.0,0.0,0.0,28.9,17.4,42.4,35.3
146,101-150,University of Warwick,0.0,13.4,29.4,10.9,16.1,41.5,26.1
147,101-150,University Paris Diderot - Paris 7,0.0,11.4,9.3,15.4,29.5,46.2,24.5
148,101-150,VU University Amsterdam,0.0,0.0,0.0,36.2,16.0,54.1,35.9
149,101-150,Weizmann Institute of Science,0.0,17.6,16.1,18.9,33.9,28.0,25.8
150,101-150,Zhejiang University,0.0,0.0,0.0,26.7,15.2,70.8,21.8
151,151-200,China Medical University (Taichung),0.0,0.0,0.0,37.8,2.1,32.1,35.0
152,151-200,Curtin University,0.0,0.0,0.0,21.8,13.6,42.1,29.1
153,151-200,Delft University of Technology,0.0,11.4,0.0,15.4,16.7,41.6,24.4
154,151-200,Harbin Institute of Technology,0.0,0.0,0.0,21.8,7.7,55.1,17.7
155,151-200,Hokkaido University,0.0,11.4,16.1,10.9,13.2,43.6,20.0
156,151-200,London School of Economics and Political Science,0.0,23.8,16.1,10.9,0.0,29.7,28.1
157,151-200,Macquarie University,0.0,0.0,0.0,26.7,11.7,36.4,28.3
158,151-200,National Taiwan University,0.0,11.4,0.0,15.4,11.9,52.4,19.4
159,151-200,Oregon State University,0.0,10.2,0.0,18.9,21.2,37.1,23.3
160,151-200,Queen Mary University of London,0.0,17.6,0.0,21.8,15.8,38.1,23.6
161,151-200,Sapienza University of Rome,0.0,11.4,13.1,0.0,9.3,52.7,19.0
162,151-200,Sichuan University,0.0,0.0,0.0,15.4,8.6,57.5,17.4
163,151-200,Sun Yat-sen University,0.0,0.0,0.0,15.4,11.5,59.5,19.3
164,151-200,Technical University of Denmark,0.0,5.1,11.4,15.4,15.8,41.4,24.1
165,151-200,Tel Aviv University,0.0,0.0,0.0,10.9,16.8,50.6,27.0
166,151-200,The Chinese University of Hong Kong,0.0,0.0,13.9,18.9,10.8,44.2,25.7
167,151-200,The University of Calgary,0.0,0.0,0.0,26.7,13.7,46.0,21.4
168,151-200,Tokyo Institute of Technology,0.0,12.4,29.4,0.0,14.0,38.3,28.8
169,151-200,Trinity College Dublin,0.0,15.2,13.1,21.8,15.3,31.9,22.3
170,151-200,TU Dresden,0.0,0.0,0.0,26.7,17.4,42.7,26.5
171,151-200,Tufts University,0.0,18.3,16.1,18.9,13.9,34.3,25.7
172,151-200,Université Grenoble Alpes,0.0,0.0,14.7,0.0,23.9,46.3,20.3
173,151-200,Université libre de Bruxelles (ULB),0.0,19.7,26.3,0.0,13.7,32.9,31.0
174,151-200,University of Bordeaux,0.0,0.0,0.0,24.4,16.8,40.4,19.4
