uid,ranking,uniname,Total Score,alumni,award,HiCi,N&S,PUB,PCP
1,1,Harvard University,100,100,100,100,100,100,79.2
2,2,Stanford University,74.7,42.9,89.6,80.1,73.6,73.1,55.8
3,3,"University of California, Berkeley",70.1,65.1,79.4,64.9,68.7,68.4,59
4,4,University of Cambridge,69.6,78.3,96.6,51.3,56.7,67.8,58.5
5,5,Massachusetts Institute of Technology (MIT),69.2,69.4,80.7,55.3,71.7,61.7,69.7
6,6,Princeton University,62,53.3,98,51.3,47.2,42.9,74.4
7,7,University of Oxford,58.9,49.7,54.9,56.2,55,74.5,46.1
8,8,California Institute of Technology,57.8,51,66.7,39.7,57.3,43.6,100
9,9,Columbia University,56.7,63.5,65.9,41,53.3,68.9,33.3
10,10,University of Chicago,54.2,59.8,86.3,34,42.7,50.2,44.5
11,11,Yale University,52.8,47.6,50.4,44.7,58.4,62.6,37.1
12,12,"University of California, Los Angeles",51.5,29.5,47.1,58,44.5,71.4,33.4
13,13,Cornell University,49,42,49.8,41,47,60.5,40.9
14,14,"University of California, San Diego",47.8,19.2,35.5,49.2,57.8,63.5,37
15,15,University of Washington,47.3,21.2,31.6,49.2,52.1,72.6,31
16,16,Johns Hopkins University,46,37.7,33.6,38.4,47,71.9,31.1
17,17,University College London,45.3,28.1,36.2,39.7,41.6,73.9,32.2
18,18,University of Pennsylvania,44.5,31.6,33.8,42.3,39.4,67.7,37.8
19,19,Swiss Federal Institute of Technology Zurich,43.8,29.5,35.5,35.5,50.2,55.6,46.1
20,20,The University of Tokyo,42.2,36.3,25.3,30.8,47.5,70,29.7
21,21,"University of California, San Francisco",41.9,0,39.9,37,52.1,59.3,33.5
22,22,"The Imperial College of Science, Technology and Medicine",41.6,14.5,35.8,43.5,32.9,64,39.9
23,23,University of Michigan-Ann Arbor,40.8,34.4,0,51.3,41.6,76.6,25.8
24,23,Washington University in St. Louis,40.8,22.9,24.9,51.3,42,51.7,37.2
25,25,Duke University,40.4,15.4,19.2,57.1,38.9,62.1,25.9
26,26,Northwestern University,40,15.4,22.1,54.3,35.6,59.6,32.8
27,27,University of Toronto,39.4,19.9,17.2,32.4,38.2,80.1,30.3
28,28,University of Wisconsin - Madison,39.2,32.8,34.8,30.8,35,62.7,24.3
29,29,New York University,38,28.1,31.9,32.4,39.5,57.3,22
30,30,University of Copenhagen,37.7,21.8,18.8,32.4,36.2,65.2,41.9
31,30,University of Illinois at Urbana-Champaign,37.7,29.9,36.2,30.8,33.1,55.1,29.1
32,32,Kyoto University,37.2,31.6,37.2,27.1,31.5,58.4,23.8
33,33,"University of Minnesota, Twin Cities",36.8,29.5,16.3,39.7,32.5,64.8,24.1
34,34,University of British Columbia,36.7,15.4,18.8,42.3,32.7,64.5,27.2
35,35,The University of Manchester,36.4,18.5,32.6,37,26.4,58.4,29
36,35,University of North Carolina at Chapel Hill,36.4,8.9,23.7,39.7,32.6,60.8,33.8
37,37,Rockefeller University,36.1,17,59.8,27.1,41.8,19.3,40
38,38,University of Colorado at Boulder,35.1,12.6,34.1,30.8,36.8,46.2,35.1
39,39,Pierre and Marie  Curie University - Paris 6,34.5,33.6,27.4,20.5,29.7,61.9,25.3
40,40,The University of Melbourne,33.9,17,13.3,35.5,24.8,67.9,32.2
41,41,The University of Edinburgh,33.6,20.5,24.9,32.4,31.3,52.1,26.8
42,42,"University of California, Santa Barbara",33.3,14.5,39.1,32.4,27.3,37.7,38.2
43,43,The University of Texas Southwestern Medical Center at Dallas,32.9,18.5,34.5,30.8,37.6,34.9,27.7
44,44,Karolinska Institute,32.7,25.6,26.6,22.9,25.1,52.6,40.2
