uid,ranking,uniname,Total Score,alumni,award,HiCi,N&S,PUB,PCP
1,1,Harvard University,100,98.6,100,100,100,100,60.6
2,2,Stanford University,77.2,41.2,72.2,96.1,75.2,72.3,68.1
3,3,University of Cambridge,76.2,100,93.4,56.6,58.5,70.2,73.2
4,4,"University of California, Berkeley",74.2,70,76,74.1,75.6,72.7,45.1
5,5,Massachusetts Institute of Technology (MIT),72.4,74.1,78.9,73.6,69.1,64.6,47.5
6,6,California Institute of Technology,69,59.3,66.5,64.8,66.7,53.2,100
7,7,Princeton University,63.6,61,76.8,65.4,52.1,46.8,67.3
8,8,University of Oxford,61.4,64.4,59.1,53.1,55.3,65.2,59
9,9,Columbia University,61.2,77.8,58.8,57.3,51.6,68.3,37
10,10,University of Chicago,60.5,72.2,81.9,55.3,46.6,54.1,32.7
11,11,Yale University,58.6,52.2,44.5,63.6,58.1,63.6,50.4
12,12,Cornell University,55.5,46.6,52.4,60.5,47.2,66.2,33.6
13,13,"University of California, San Diego",53.8,17.8,34.7,63.6,59.4,67.2,47.9
14,14,The University of Tokyo,51.9,36.1,14.4,44.5,55,91.9,49.8
15,15,University of Pennsylvania,51.8,35.6,35.1,61.2,44.6,72.6,34
16,16,"University of California, Los Angeles",51.6,27.4,32.8,60.5,48.1,79.9,24.8
17,17,"University of California, San Francisco",50.8,0,37.6,59.3,59.5,62.9,48.8
18,18,University of Wisconsin - Madison,50,43.1,36.3,55.3,48,69.2,19
19,19,University of Michigan - Ann Arbor,49.3,39.8,19.3,64.8,45.7,76.7,20.1
20,20,University of Washington,49.1,22.7,30.2,57.3,49.6,78.8,16.2
21,21,Kyoto University,48.3,39.8,34.1,40,37.2,77.1,46.4
22,22,The Johns Hopkins University,47.5,48.7,28.3,43.7,52.6,71.7,14.2
23,23,"The Imperial College of Science, Technology and Medicine",46.4,20.9,38.1,46.2,39.4,65.8,44.5
24,24,University of Toronto,44.6,28.1,19.7,39.1,41.2,78.4,42.8
25,25,University College London,44.3,30.8,32.9,41,41,61.1,42.6
26,25,University of Illinois at Urbana-Champaign,43.3,41.7,37.4,46.2,36,58.2,17.8
27,27,Swiss Federal Institute of Technology Zurich,43.2,40.3,37,39.1,43.2,47.1,41.5
28,28,Washington University in St. Louis,43.1,25.1,26.6,41.9,46.8,56.2,44.9
29,29,Rockefeller University,40.2,22.7,59.8,31.5,43.6,27.1,38.6
