uid,ranking,uniname,Total Score,alumni,award,HiCi,N&S,PUB,PCP
1,1,Harvard University,100,100,100,100,100,100,75.3
2,2,Stanford University,72.1,41.8,82.8,79.8,71.1,70.9,51.9
3,3,Massachusetts Institute of Technology (MIT),70.5,68.4,80.7,60.6,73.6,61.5,67.1
4,4,University of California-Berkeley,70.1,66.8,79.4,65.3,67.5,68.1,55.9
5,5,University of Cambridge,69.2,79.1,96.6,50.8,56.2,66.5,55.2
6,6,Princeton University,60.7,52.1,88.5,57.1,46.2,44.2,68.1
7,7,California Institute of Technology,60.5,48.5,66.7,49.3,60,44.9,100
8,8,Columbia University,59.6,65.1,65.9,51.6,55,69.1,33.1
9,9,University of Chicago,57.4,61.4,86.3,48.4,43,50.7,41.5
10,9,University of Oxford,57.4,51,54.9,52.8,52.7,72.7,43
11,11,Yale University,55.2,48.8,50.4,51,61.5,62.9,37.7
12,12,"University of California, Los Angeles",51.9,30.2,47.1,52.8,50.9,71.3,31.7
13,13,Cornell University,50.6,37.6,49.8,50.4,46.9,61,39.7
14,14,"University of California, San Diego",49.3,19.7,35.5,56.1,55.7,65,36.5
15,15,University of Washington,48.1,21.7,31.6,53,53.1,71.6,29
16,16,University of Pennsylvania,47.1,32.4,33.8,49.6,44.6,66.9,37.3
17,17,The Johns Hopkins University,47,38.7,33.6,44,47.8,70.2,28.7
18,18,"University of California, San Francisco",45.2,0,39.9,46.8,56.5,59.9,34.9
19,19,Swiss Federal Institute of Technology Zurich,43.9,30.2,35.5,38.4,46.7,55.6,45.8
20,20,University College London,43.3,28.8,29.5,39.2,40.7,71.6,31.5
21,21,The University of Tokyo,43.2,31.6,14.1,40.6,52.6,73,29.2
22,22,"The Imperial College of Science, Technology and Medicine",42.3,14.9,35.8,43.7,38,62.5,38
23,22,University of Michigan-Ann Arbor,42.3,35.3,0,56.2,42.4,77.3,25.6
24,24,University of Toronto,41.8,20.4,17.2,38.8,42.2,80.5,29.6
25,24,University of Wisconsin - Madison,41.8,31.6,34.8,40.2,37.4,63.2,24.5
26,26,Kyoto University,39.9,30.2,37.2,34.4,35,61.2,23.8
27,27,New York University,39.6,28.8,31.9,36.1,42.4,56.6,23.4
28,28,Northwestern University,39.4,15.8,22.1,50.3,39.5,58.2,28.7
29,28,University of Illinois at Urbana-Champaign,39.4,30.7,36.2,35.8,36,54.4,28.5
30,30,"University of Minnesota, Twin Cities",39.3,30.2,16.3,47.3,34.5,65.1,26.2
31,31,Duke University,38.4,15.8,14.9,50.2,40.6,61.9,23.7
32,32,Washington University in St. Louis,37.8,19,24.9,40.7,44.2,52.1,26.1
33,33,Rockefeller University,37.6,17.5,59.8,30.3,44.2,20.8,38.9
34,34,University of Colorado at Boulder,37.2,12.9,34.1,37.1,40.1,46.1,34.8
35,35,Pierre and Marie  Curie University - Paris 6,35.4,34.5,27.4,25.8,30.2,60,23.8
36,36,University of North Carolina at Chapel Hill,35.2,9.1,16.3,40.4,36.3,61.1,25.6
37,37,University of British Columbia,35.1,15.8,18.8,34.2,34,63.9,24.4
38,38,The University of Manchester,34.7,19,32.6,28,28.2,57.8,25.9
39,39,The University of Texas at Austin,34.5,16.6,16.3,38.6,36.3,55.7,26
40,39,University of Copenhagen,34.5,22.3,18.8,27.1,32,61.1,36.2
41,41,"University of California, Santa Barbara",34.3,14.9,35.1,38.7,28.8,38.6,36.9
42,42,University of Paris Sud (Paris 11),34.2,31.1,54.3,16.8,18.5,48.4,26.5
43,43,"University of Maryland, College Park",32.7,19.7,20,31.9,32.5,52.5,26
