uid,ranking,uniname,Total Score,alumni,award,HiCi,N&S,PUB,PCP
1,1,Harvard University,100,100,100,100,100,100,72.4
2,2,University of Cambridge,73.6,99.8,93.4,53.3,56.6,70.9,66.9
3,3,Stanford University,73.4,41.1,72.2,88.5,70.9,72.3,65
4,4,"University of California, Berkeley",72.8,71.8,76,69.4,73.9,72.2,52.7
5,5,Massachusetts Institute of Technology (MIT),70.1,74,80.6,66.7,65.8,64.3,53
6,6,California Institute of Technology,67.1,59.2,68.6,59.8,65.8,52.5,100
7,7,Columbia University,62.3,79.4,60.6,56.1,54.2,69.5,45.4
8,8,Princeton University,60.9,63.4,76.8,60.9,48.7,48.5,59.1
9,9,University of Chicago,60.1,75.6,81.9,50.3,44.7,56.4,42.2
10,10,University of Oxford,59.7,64.3,59.1,48.4,55.6,68.4,53.2
11,11,Yale University,56.9,52.1,44.5,60.3,57.2,63.9,49.3
12,12,Cornell University,54.6,46.5,52.4,55,48.8,66.3,39.8
13,13,"University of California, San Diego",51,17.7,34.7,59.8,56.5,64.5,46.6
14,14,"University of California, Los Angeles",50.6,27.3,32.8,56.7,50.1,75.6,34.3
15,15,University of Pennsylvania,50.2,35.5,35.1,56.7,42.9,71.8,39.1
16,16,University of Wisconsin - Madison,49.2,43,36.3,52.1,46.3,68.7,29
17,17,University of Washington,48.4,28.8,32.4,53.9,47.1,73.8,27.2
18,18,"University of California, San Francisco",47.8,0,37.6,55.6,57.9,58.8,45.2
19,19,The Johns Hopkins University,46.9,51.4,28.3,41.6,52.2,67.7,24.9
20,20,The University of Tokyo,46.7,36,14.4,38.5,52.1,86.5,34.7
21,21,University of Michigan - Ann Arbor,44.9,43,0,61.9,43,76.5,30.9
22,22,Kyoto University,43.8,39.7,34.1,34.2,37,72.3,31.1
23,23,"The Imperial College of Science, Technology and Medicine",43.7,20.8,38.1,40.8,38.2,64.6,40.3
24,24,University of Toronto,43.1,28.1,19.7,39.3,38.9,76.7,41.9
25,25,University of Illinois at Urbana-Champaign,42.8,41.6,37.4,44.4,34.1,58,26
26,26,University College London,42.6,30.7,32.9,37.7,41.5,60.5,38.8
27,27,Swiss Federal Institute of Technology Zurich,41.7,40.2,37,35.1,41.1,43.4,52.4
28,28,Washington University in St. Louis,40.7,25.1,26.6,38.5,46.5,53.9,39.9
29,29,New York University,38.8,33.8,25,43,35.3,55.4,26.3
30,30,Rockefeller University,38.2,22.6,59.8,28.3,44.1,24,35.9
31,31,Northwestern University,37.9,21.7,19.3,44.4,33.8,57.6,36.2
32,32,Duke University,37.7,20.8,0,47.1,45.3,60.8,38.9
33,32,"University of Minnesota, Twin Cities",37.7,36,0,49.7,35.2,68.4,23.8
34,34,"University of California, Santa Barbara",36.9,0,36,42.3,39,44.1,35.8
35,35,University of Colorado at Boulder,36.3,16.6,29.8,40.8,36.6,46.3,29.5
36,36,The University of Texas at Austin,35.5,21.7,17.1,49.1,30,54.8,21.7
37,37,University of British Columbia,35.4,20.8,19.3,32.4,32.5,60.4,33.9
38,38,The University of Texas Southwestern Medical Center at Dallas,34.8,24.3,33.9,31.4,38.2,37.9,31
39,39,Pennsylvania State University - University Park,33.4,14,0,45.8,37.9,59.9,24
40,39,Vanderbilt University,33.4,12.5,30.2,34.2,24.5,49.2,35.6
41,41,"University of California, Davis",32.9,0,0,46.5,34.5,64,29.8
42,41,Utrecht University,32.9,30.7,21.4,27.2,27.3,55.7,25.9
43,43,"Rutgers, The State University of New Jersey - New Brunswick",32.3,15.4,20.4,36.9,32.9,47.1,24.1
44,43,University of Pittsburgh,32.3,25.1,0,40.1,25.9,64.3,28.2
45,45,Karolinska Institute,32.1,30.7,27.8,33.3,19.7,47.3,25.1
46,46,Pierre and Marie  Curie University - Paris 6,32,35.7,23.9,23.6,24.2,51.2,30
47,47,The University of Edinburgh,31.8,22.6,17.1,26.1,35.8,49.4,29.9
48,47,"University of California, Irvine",31.8,0,30,32.4,28.5,48.2,31.1
49,47,"University of Maryland, College Park",31.8,25.9,0,40.8,33.6,54.6,25.6
50,50,University of Southern California,31.7,0,27.3,37.7,23.6,52.8,25.8
51,51,University of Munich,31.4,37.1,21.1,15.7,30.4,51.9,30
52,52,Technical University Munich,31.3,43,24.1,24.8,20.7,46.5,29.2
53,53,The University of Manchester,31.2,27.3,19.3,23.6,22.6,57.3,30.4
54,54,Carnegie Mellon University,30.8,30.7,33.5,32.4,14.7,38.3,31.4
55,55,University of North Carolina at Chapel Hill,30.3,12.5,0,35.1,32.8,59.5,27.3
56,56,The Australian National University,30.2,17.7,12.9,36.9,29,45.1,27.8
57,57,University of Copenhagen,30,30.7,24.7,23.6,22.8,45.7,27.7
58,57,University of Florida,30,15.4,0,35.1,25,65.2,25.8
59,57,University of Zurich,30,12.5,27.3,19.2,30.3,47.2,30.6
60,60,Uppsala University,29.9,25.9,32.9,11.1,28.7,49.1,21.6
61,61,University of Paris Sud (Paris 11),29.4,33.2,34.2,13.6,19.6,44.9,27.9
62,62,Osaka University,29.3,12.5,0,23.6,31.1,66.8,29.2
63,63,The Ohio State University - Columbus,29.2,17.7,0,40.8,21.5,61.2,19.5
64,64,University of Bristol,28.8,10.9,18.2,30.4,24.5,47.5,27.4
65,65,The University of Sheffield,28.6,23.5,14.4,23.6,29.2,46.6,27.1
66,65,University of Rochester,28.6,33.2,9.1,27.2,25.3,43,36.1
67,67,McGill University,28.4,28.8,0,28.3,23.6,56.8,30
68,67,Moscow State University,28.4,51.4,34.9,0,7.5,54,31.6
69,69,Case Western Reserve University,28.3,40.7,11.8,20.8,23,44.8,33.7
70,69,University of Oslo,28.3,25.9,34.1,17.6,18.2,41.5,26.4
71,71,University of Heidelberg,28,10.9,27.7,20.8,20.9,48.1,26.9
72,72,Leiden University,27.9,25.1,15.8,27.2,19.3,46.7,28.1
73,73,Tohoku University,27.8,18.8,0,19.2,26.9,65.3,29
74,73,University of Arizona,27.8,0,0,29.4,36.8,55.8,25.7
75,75,Purdue University - West Lafayette,27.7,18.8,17.1,27.2,21.4,49.8,19.4
76,76,University of Helsinki,27.4,18.8,18.2,15.7,21.4,54.5,27.5
77,77,Michigan State University,26.9,12.5,0,37.7,26.6,51,18.7
78,78,Rice University,26.2,21.7,22.3,23.6,24.4,30.8,31
79,78,The Hebrew University of Jerusalem,26.2,33.2,0,23.6,27.1,46.6,26.9
80,80,Boston University,26.1,15.4,0,31.4,28.1,50.8,17.5
81,80,King's College London,26.1,16.6,23.5,20.8,17.4,44.6,24.8
82,82,University of Melbourne,26,15.4,14.4,22.2,18.7,53.5,19.9
83,83,University of Nottingham,25.9,15.4,20.4,20.8,19,45.6,24.8
84,84,University of Goettingen,25.8,38.7,20.4,15.7,17.5,40.2,24.5
85,85,University of Vienna,25.6,25.1,15.8,7.9,22.7,52.2,26.4
86,86,Brown University,25.4,0,13.9,29.4,25.5,40.7,27.9
87,87,Indiana University Bloomington,25.2,14,18.2,24.8,21.2,42,18.2
88,87,University of Basel,25.2,25.9,17.5,19.2,21.4,34.5,33.8
89,89,Texas A&M University - College Station,25.1,0,0,32.4,24.4,55,20.4
90,90,McMaster University,24.9,16.6,19.3,22.2,15.9,43.5,23.9
91,90,University of Freiburg,24.9,25.1,21.4,17.6,18.2,39.5,23.2
92,92,University of Strasbourg,24.7,29.4,22.9,19.2,19.5,32.7,22.4
93,93,Ecole Normale Superieure - Paris,24.6,47.8,25,13.6,18.1,27.2,23.3
94,93,Stockholm University,24.6,29.4,30.2,15.7,14.3,35.3,18.9
95,93,Tokyo Institute of Technology,24.6,16.6,0,22.2,22.5,50.6,31.5
96,93,University of Utah,24.6,0,0,30.4,31.4,45.5,24.8
97,97,University of Roma - La Sapienza,24.5,16.6,15.8,11.1,21.8,54.6,15.1
98,98,University of Birmingham,24.4,25.1,11.2,22.2,13.4,47,24.5
99,99,Lund University,24.3,29.4,0,24.8,19.4,50.1,18.1
100,100,Tufts University,23.9,18.8,17.1,20.8,19.1,37.4,25.2
101,101-152,Aarhus University,0.0,15.4,19.3,7.9,22.3,41.6,22.4
102,101-152,Arizona State University - Tempe,0.0,0,14.4,20.8,26.3,41.9,17.5
103,101-152,Baylor College of Medicine,0.0,0,0,17.6,34.5,44,24.9
104,101-152,Catholic University of Leuven,0.0,0,0,19.2,16,48.7,23.1
105,101-152,Catholic University of Louvain,0.0,14,13.9,13.6,8.3,44.7,26.9
106,101-152,College of France,0.0,15.4,37.4,11.1,11.7,16.9,19.3
107,101-152,Dartmouth College,0.0,24.3,0,20.8,22,33,29.1
108,101-152,Emory University,0.0,0,0,28.3,19,48.4,21.6
109,101-152,Georgia Institute of Technology,0.0,16.6,0,23.6,19,43.9,25.8
110,101-152,Ghent University,0.0,8.9,15.8,15.7,9.1,48.8,27.2
111,101-152,Hokkaido University,0.0,0,0,15.7,14.1,53.8,21.5
112,101-152,Kyushu University,0.0,0,0,13.6,21.3,52.8,21.6
113,101-152,Mayo Medical School,0.0,0,0,27.2,6.2,50.2,24.4
114,101-152,Nagoya University,0.0,0,14.4,15.7,20.5,52.3,25.1
115,101-152,National University of Singapore,0.0,0,0,15.7,13.8,56.7,25.7
116,101-152,North Carolina State University - Raleigh,0.0,0,0,29.4,17.8,44.3,19
117,101-152,Oregon State University,0.0,15.4,0,24.8,25.7,36.6,27.1
118,101-152,Seoul National University,0.0,0,0,7.9,14.6,61.2,26.9
119,101-152,State University of New York at Stony Brook,0.0,0,0,17.6,31.4,40.7,20.5
120,101-152,Technion-Israel Institute of Technology,0.0,18.8,23.5,13.6,14.1,42.1,22.8
121,101-152,Tel Aviv University,0.0,0,0,24.8,20.1,54.7,26.9
122,101-152,The University of Georgia,0.0,0,0,28.3,21.1,46.4,18.4
123,101-152,The University of Glasgow,0.0,10.9,0,19.2,17.1,44.4,22.1
124,101-152,The University of Queensland,0.0,16.6,0,7.9,19.9,50.1,18.9
125,101-152,University Libre Bruxelles,0.0,28.1,19.3,0,12.8,37.8,29.1
126,101-152,University of Alberta,0.0,15.4,0,17.6,17.4,55.1,26.1
127,101-152,University of Amsterdam,0.0,8.9,0,19.2,22.2,50.1,23.1
128,101-152,University of Bonn,0.0,19.8,20.4,15.7,11.3,41.3,22
129,101-152,"University of California, Riverside",0.0,0,0,28.3,25.9,36.5,27
130,101-152,"University of California, Santa Cruz",0.0,0,0,28.3,28.5,31.1,29.2
131,101-152,University of Frankfurt,0.0,36.6,9.1,17.6,16.5,37.9,22.4
132,101-152,University of Geneva,0.0,29.4,0,19.2,23.8,33.7,23.1
133,101-152,University of Groningen,0.0,0,20.4,13.6,18.5,43.2,19.8
134,101-152,University of Hamburg,0.0,16.6,0,17.6,20.7,40.9,21.4
135,101-152,University of Hawaii at Manoa,0.0,0,0,27.2,30.1,36.8,22.2
136,101-152,University of Illinois at Chicago,0.0,0,0,28.3,18.5,46.9,21.5
137,101-152,University of Iowa,0.0,0,0,31.4,22.7,50.8,20.9
138,101-152,University of Leeds,0.0,22.6,0,11.1,22.9,45,23
139,101-152,University of Liverpool,0.0,23.5,15.8,13.6,18.1,42.4,22.6
140,101-152,University of Massachusetts Amherst,0.0,17.7,0,33.3,24.3,38,23
141,101-152,University of Miami,0.0,0,0,26.1,16.4,41.7,23.4
142,101-152,University of Milan,0.0,22.6,0,15.7,14.2,49.7,19.1
143,101-152,University of Muenster,0.0,25.1,15.8,11.1,14.8,38.3,20.7
144,101-152,University of Pisa,0.0,18.8,24.1,11.1,8.7,40.6,18.4
145,101-152,University of Sao Paulo,0.0,0,0,11.1,11,63.5,27.8
146,101-152,University of Sussex,0.0,0,23.2,19.2,15.9,28.8,19
147,101-152,University of Sydney,0.0,19.8,0,19.2,17.8,54.5,19.7
148,101-152,University of Tsukuba,0.0,0,20.4,13.6,12.7,42.9,21.3
149,101-152,University of Tuebingen,0.0,29.4,0,15.7,22.4,43.7,23.6
150,101-152,University of Virginia,0.0,0,0,29.4,23.6,47.9,24
151,101-152,University of Wuerzburg,0.0,25.1,9.1,22.2,16.9,37.9,21.7
152,101-152,Weizmann Institute of Science,0.0,0,0,26.1,35.1,33.6,23.4
153,153-202,Autonomous University of Madrid,0.0,19.8,0,13.6,11.4,36.3,18.2
154,153-202,Brandeis University,0.0,25.1,0,7.9,26.1,20.3,27.4
155,153-202,Cardiff University,0.0,0,0,13.6,17,42.5,20.3
156,153-202,Colorado State University,0.0,0,0,27.2,14.8,37.6,21.7
157,153-202,Erasmus University Rotterdam,0.0,0,15.8,15.7,11,29.8,17
158,153-202,Florida State University,0.0,0,0,22.2,17.1,37.9,18.4
159,153-202,Iowa State University,0.0,0,0,24.8,11.5,45,18.4
160,153-202,Joseph Fourier University (Grenoble 1),0.0,0,15.8,11.1,14.4,32.5,17.2
161,153-202,Mount Sinai School of Medicine,0.0,0,0,19.2,18.3,34,18.3
162,153-202,National Autonomous University of Mexico,0.0,16.6,0,7.9,15.1,49,22.6
163,153-202,National Taiwan University,0.0,15.4,0,7.9,7.3,53.2,15.8
164,153-202,Oregon Health and Science University,0.0,0,0,17.6,23.9,35.2,19.6
165,153-202,Queen's University,0.0,0,0,19.2,17,35.2,18.5
166,153-202,Rensselaer Polytechnic Institute,0.0,16.6,0,19.2,12.2,26.8,24.7
167,153-202,Swiss Federal Institute of Technology of Lausanne,0.0,0,0,17.6,18.1,38.7,38.7
168,153-202,Technical University of Denmark,0.0,8.9,12.9,17.6,11.8,30.6,16.9
169,153-202,The University of Alabama at Birmingham,0.0,0,0,17.6,14.2,43.5,23.2
170,153-202,The University of Calgary,0.0,0,0,11.1,16,44.2,20.5
171,153-202,The University of Connecticut - Storrs,0.0,15.4,0,17.6,12,37.8,19.6
172,153-202,The University of Texas Health Science Center at Houston,0.0,0,15.8,17.6,16.8,29.7,17.6
173,153-202,The University of Texas M. D. Anderson Cancer Center,0.0,0,0,23.6,12.4,39.5,20.2
174,153-202,The University of Western Australia,0.0,0,0,20.8,13.8,40.1,21
175,153-202,Tsinghua University,0.0,14,0,0,9.9,55.7,19.1
176,153-202,University of Barcelona,0.0,0,0,11.1,14.1,46.3,21.1
177,153-202,University of Bern,0.0,16.6,0,11.1,23.5,35.5,26.8
178,153-202,University of Cincinnati,0.0,0,0,24.8,12.1,44.8,20.6
179,153-202,University of Delaware,0.0,14,0,20.8,15.9,36.2,17.9
180,153-202,University of East Anglia,0.0,17.7,0,17.6,20.2,25.1,16.5
181,153-202,University of Gothenburg,0.0,0,15.8,0,18.6,40.4,13.9
182,153-202,University of Kiel,0.0,15.4,15.8,11.1,14.6,33.5,18.2
183,153-202,University of Cologne,0.0,0,12.9,7.9,19.1,36.6,18.7
184,153-202,University of Leicester,0.0,0,0,19.2,19.9,35.4,19.1
185,153-202,University of Leipzig,0.0,17.7,15.8,0,10,37.3,18.5
186,153-202,University of Mainz,0.0,0,8.3,15.7,13.5,37.9,18.7
187,153-202,University of Marburg,0.0,17.7,0,15.7,12.6,34.7,17.9
188,153-202,"University of Maryland, Baltimore",0.0,0,0,19.2,18.6,38.4,19.9
189,153-202,University of Montreal,0.0,15.4,0,7.9,12.1,50.4,22.7
190,153-202,University of Nebraska - Lincoln,0.0,17.7,0,15.7,17.2,36.8,18.2
191,153-202,University of New South Wales,0.0,0,0,19.2,14.3,47,17.6
192,153-202,University of Notre Dame,0.0,16.6,0,11.1,18.9,34.1,20
193,153-202,University of Padua,0.0,0,0,13.6,13.7,46.3,16.9
194,153-202,University of Paris Descartes (Paris 5),0.0,16,12.2,11.1,12.4,27.8,15.5
195,153-202,University of Paris Diderot (Paris 7),0.0,18.2,14.1,11.1,15.6,34.5,18.6
196,153-202,University of Southampton,0.0,0,0,20.8,11.9,43.4,21
197,153-202,University of Tennessee - Knoxville,0.0,14,0,20.8,18,39.3,17.1
198,153-202,University of Turin,0.0,21.7,0,11.1,10.8,38.2,16.8
199,153-202,University of Wageningen,0.0,0,0,23.6,17,35.2,23.8
200,153-202,Virginia Commonwealth University,0.0,14,14.4,20.8,7.7,33.4,17.4
201,153-202,Virginia Polytechnic Institute and State University,0.0,15.4,0,17.6,12.4,40.3,17
202,153-202,VU University Amsterdam,0.0,0,0,17.6,15.8,42.7,21.6
203,203-300,Chalmers University of Technology,0.0,0,0,17.6,9.8,31,18.1
204,203-300,Charles University in Prague,0.0,15.4,0,0,11.3,37.1,17.1
205,203-300,Claude Bernard University Lyon 1,0.0,15.4,0,0,11.5,36.5,16.9
206,203-300,Complutense University of Madrid,0.0,0,0,0,12.6,41.3,18.3
207,203-300,Dalhousie University,0.0,0,0,15.7,18.1,34.8,18
208,203-300,Delft University of Technology,0.0,15.4,0,0,21.9,36.2,15.8
209,203-300,Ecole Polytechnique,0.0,22.6,0,7.9,14.1,28.4,15.4
210,203-300,George Mason University,0.0,0,32.9,11.1,0,24.3,18.3
211,203-300,Georgetown University,0.0,0,0,7.9,13.5,34.8,19.7
212,203-300,Hiroshima University,0.0,0,0,7.9,10.4,40.6,19.2
213,203-300,Kansas State University,0.0,0,0,11.1,12.7,31.8,15.8
214,203-300,Keio University,0.0,0,0,7.9,14.2,36.5,17
215,203-300,Kobe University,0.0,0,0,13.6,15,33.1,16.9
216,203-300,Lancaster University,0.0,0,0,17.6,10.2,28.4,14.8
217,203-300,Laval University,0.0,0,0,15.7,11.4,37.2,17.8
218,203-300,London School of Economics and Political Science,0.0,19.8,0,15.7,0.0,26.1,16.2
219,203-300,Louisiana State University - Baton Rouge,0.0,0,0,13.6,11.8,39,15.6
220,203-300,Macquarie University,0.0,0,0,13.6,15.9,25.6,17.9
221,203-300,Monash University,0.0,0,0,7.9,15.4,44.6,14.7
222,203-300,National and Kapodistrian University of Athens,0.0,0,0,7.9,5.9,40.1,17.5
223,203-300,Newcastle University,0.0,0,0,11.1,20.1,37.8,18.8
224,203-300,Norwegian University of Science and Technology,0.0,18.8,0,0,15.7,30.5,15.6
225,203-300,Okayama University,0.0,0,0,7.9,10.4,36,18.3
226,203-300,Paul Sabatier University (Toulouse 3),0.0,0,6.4,7.9,16.9,33.8,16.6
227,203-300,Peking University,0.0,0,0,0,11.3,52.2,17.2
228,203-300,"Queen Mary, U. of London",0.0,24.3,0,15.7,7.4,30.2,16.5
229,203-300,Queen's University Belfast,0.0,23.5,0,0,10.8,33.5,16.5
230,203-300,Radboud University Nijmegen,0.0,0,0,7.9,18.8,40.1,19.9
231,203-300,Royal Institute of Technology,0.0,0,15.8,7.9,10.9,35.1,17.1
232,203-300,RWTH Aachen University,0.0,6.3,0,7.9,7.4,39,17.3
233,203-300,State University of Campinas,0.0,0,0,7.9,6.2,40.6,17.8
234,203-300,State University of New York at Albany,0.0,0,0,22.2,9.8,29.1,20
235,203-300,State University of New York at Buffalo,0.0,0,0,15.7,11.5,39.1,16.1
236,203-300,Swedish University of Agricultural Sciences,0.0,0,0,13.6,17,29.9,14.8
237,203-300,Syracuse University,0.0,0,0,15.7,14.1,26.8,15.2
238,203-300,Technical University of Berlin,0.0,23.5,0,11.1,8.9,29.7,15.7
239,203-300,The Chinese University of Hong Kong,0.0,0,0,13.6,5.1,43.3,21.6
240,203-300,The George Washington University,0.0,15.4,0,11.1,12.6,32.9,17.6
241,203-300,The Hong Kong University of Science and Technology,0.0,0,0,17.6,10.1,34.5,24.6
242,203-300,The University of Adelaide,0.0,10.9,0,11.1,12,35.2,19
243,203-300,The University of Auckland,0.0,17.7,0,11.1,16.3,33.9,17.5
244,203-300,The University of Dundee,0.0,0,0,13.6,15.1,28,14.7
245,203-300,The University of Hong Kong,0.0,0,0,7.9,10.9,46.3,21.3
246,203-300,The University of New Mexico - Albuquerque,0.0,0,0,11.1,19.6,36.3,18.9
247,203-300,The University of Reading,0.0,0,0,13.6,17.9,31,16.3
248,203-300,The University of Texas Health Science Center at San Antonio,0.0,0,0,22.2,9.8,27.7,15.7
249,203-300,The University of Texas Medical Branch at Galveston,0.0,0,0,19.2,8.5,30.5,15.7
250,203-300,Thomas Jefferson University,0.0,0,0,15.7,14.5,29.3,15.4
251,203-300,Trinity College Dublin,0.0,15.4,14.4,0,11.9,27.4,14.8
252,203-300,Tulane University,0.0,0,0,15.7,11.4,30.3,14.5
253,203-300,Umea University,0.0,0,0,15.7,17.1,31.3,13.6
254,203-300,University of Alaska - Fairbanks,0.0,0,0,15.7,17.9,19.5,23.1
255,203-300,University of Antwerp,0.0,0,0,11.1,11.3,33.6,24.3
256,203-300,University of Bochum,0.0,0,0,11.1,15,39.3,18.5
257,203-300,University of Bologna,0.0,0,0,7.9,10.6,48.9,15.5
258,203-300,University of Bordeaux 1,0.0,8.9,0,13.6,11.4,27,14
259,203-300,University of Buenos Aires,0.0,21.7,0,0,9,36.6,17.3
260,203-300,University of Cape Town,0.0,25.1,0,11.1,11.1,30.3,16.3
261,203-300,University of Colorado Health Science Center,0.0,0,0,15.7,17.1,34,17.5
262,203-300,University of Durham,0.0,0,0,19.2,15.7,33.7,17.8
263,203-300,University of Erlangen-Nuremberg,0.0,0,0,13.6,9.8,41.1,18.9
264,203-300,University of Florence,0.0,0,0,13.6,16.4,40.4,15.8
265,203-300,University of Genova,0.0,0,0,15.7,5.4,34.4,14.2
266,203-300,University of Guelph,0.0,0,0,13.6,11,32.9,15.8
267,203-300,University of Halle-Wittenberg,0.0,6.3,9.1,7.9,8.1,29.8,14.2
