uid,ranking,uniname,Total Score,alumni,award,HiCi,N&S,PUB,PCP
1,1,Harvard University,100,100,100,100,100,100,72.5
2,2,Stanford University,72.6,40,80.7,88.9,68.7,69.4,50.4
3,3,"University of California, Berkeley",71.3,67.8,79,69.7,68.5,68.1,54.7
4,4,Massachusetts Institute of Technology (MIT),71.1,68,81.3,68.2,69.7,60.1,65
5,5,University of Cambridge,69.6,79.1,97.3,54.6,54,66.2,53.3
6,6,California Institute of Technology,62.9,47.8,67.2,57.4,62,45.2,100
7,7,Princeton University,61.9,52.9,89.2,62.2,45.8,44,66.9
8,8,Columbia University,59.8,66.1,66.4,57.4,49.8,68,31.9
9,9,University of Chicago,57.1,60.9,83.4,52.2,41.9,49.8,39.5
10,10,University of Oxford,55.9,51.8,55.3,48.9,51.3,69.9,41.2
11,11,Yale University,55.4,47.5,44.5,59.7,60.7,62.4,36.3
12,12,"University of California, Los Angeles",52.9,27.3,47.4,57.7,51.7,71.2,31.1
13,13,Cornell University,50,38.2,50.2,54.9,45,55.2,37.6
14,14,"University of California, San Diego",49.9,20,35.8,60.3,55.5,63.4,35.5
15,15,University of Pennsylvania,49.6,33,34.1,57.9,47.4,66.7,37.7
16,16,University of Washington,48.3,22,31.8,55.1,52.3,70.8,27.9
17,17,The Johns Hopkins University,46.9,39.3,33.9,42.2,49.7,68.8,27.4
18,18,"University of California, San Francisco",46.2,0,40.2,53.7,54.1,59.3,34.1
19,19,University of Wisconsin - Madison,44.9,32.1,35,52.1,39.3,63.3,25.1
20,20,Swiss Federal Institute of Technology Zurich,43.5,30.7,35.8,36.7,46.6,54.7,44.4
21,21,The University of Tokyo,43,32.1,14.2,42.5,50,72.2,27.8
22,21,University College London,43,29.3,29.7,39.6,42.1,67.5,31.3
23,23,University of Michigan - Ann Arbor,42.6,33.4,0,60.5,42,75.7,24.7
24,24,"The Imperial College of Science, Technology and Medicine",41.6,15.1,36.1,41.6,39,60.4,35.7
25,25,University of Illinois at Urbana-Champaign,41.1,31.2,36.5,43.3,35.9,54.2,28.4
26,26,Kyoto University,40.8,30.7,37.5,38.9,35.1,60.2,23.2
27,27,New York University,40.5,29.3,32.2,42.2,40.8,55.5,22.8
28,28,University of Toronto,40.3,20.7,17.3,39,38.2,77.6,27.4
29,29,"University of Minnesota, Twin Cities",39.7,27.3,16.4,51.1,34.7,64.3,25.5
30,30,Northwestern University,38.9,16,22.2,48.5,39.1,57.5,27.1
31,31,Duke University,38.1,16,15,46.5,42.8,61.6,22.5
32,32,Washington University in St. Louis,37.5,19.3,25.1,39,44.2,52.1,24.9
33,33,University of Colorado at Boulder,37.3,13.1,34.3,39.6,39.2,45,33.6
34,34,Rockefeller University,37.1,17.7,60.2,28.9,43.1,20.4,38.1
35,35,"University of California, Santa Barbara",35.9,15.1,35.4,42.7,30.9,39.3,37.2
36,36,The University of Texas at Austin,35.4,16.9,16.4,45.7,34.9,54.2,25.5
37,37,Pierre and Marie  Curie University - Paris 6,35.3,35.1,27.6,25.1,30.8,59.1,22.8
38,38,"University of Maryland, College Park",34.7,20,20.1,41.5,31.5,52.6,26.3
39,39,University of Paris Sud (Paris 11),34.5,31.6,54.7,16.2,19.7,48.7,25.7
40,40,University of British Columbia,34.2,16,19,32.4,31.9,63.6,22.9
41,41,The University of Manchester,34,19.3,32.8,27.7,26,57,24.4
42,42,University of Copenhagen,33.8,22.7,19,25.9,30.3,60.2,35
43,43,University of North Carolina at Chapel Hill,33.7,9.3,16.4,39.6,32.8,58.6,23.5
44,44,Karolinska Institute,32.7,23.3,26.8,32.4,20.9,49.2,35.9
45,45,"University of California, Irvine",32.4,0,29.5,36.9,30.7,46.8,27.1
46,46,The University of Texas Southwestern Medical Center at Dallas,31.4,19.3,34.7,30.6,32.9,34.6,20.6
47,47,"University of California, Davis",31.3,0,0,47.3,33.6,58.6,25.8
48,47,University of Southern California,31.3,0,26.8,39.6,25.1,51.3,19.1
49,49,Vanderbilt University,31,16,29.2,32.4,21,50.9,18.4
50,50,Technical University Munich,30.6,36.3,21.7,24.6,22.4,46.7,30.4
51,51,The University of Edinburgh,30.5,21.4,13.4,27.1,33.6,50.9,25.3
52,52,Carnegie Mellon University,30.4,33,31.8,30.7,18.1,34,33.6
53,52,Utrecht University,30.4,23.9,20.1,29.9,25.9,47.1,25.1
54,54,Pennsylvania State University - University Park,30.2,10.7,0,47.1,31.4,52,21.8
55,54,University of Heidelberg,30.2,14.1,25.5,19.1,28.5,51.1,30.9
56,54,University of Melbourne,30.2,17.7,13.4,24,24.4,62.5,27.1
57,57,Purdue University - West Lafayette,30.1,14.1,23.2,28.9,26.7,49.6,21.7
58,58,McGill University,29.9,31.6,0,31.5,26.1,58.8,25.9
59,59,The Hebrew University of Jerusalem,29.8,33.4,28.4,25.1,21.5,38.7,28.8
60,60,University of Zurich,29.7,5.3,24.2,25.9,28.1,50.9,25.3
61,61,"Rutgers, The State University of New Jersey - New Brunswick",29.5,10.7,19,38.9,26.2,43,22.1
62,61,University of Munich,29.5,26.7,19.3,16.2,28.1,51.2,30.4
63,61,University of Pittsburgh,29.5,19.3,0,42.2,21.8,60.8,18
64,64,University of Bristol,29.2,7.6,16.4,28.9,32.8,45.7,28.8
65,65,The Ohio State University - Columbus,29,13.1,0,40.5,25.9,58.9,18
66,66,The Australian National University,28.9,14.1,19.4,32.3,24,43,29.3
67,67,Brown University,28.8,15.1,13.4,32.4,27.7,42.6,32.6
68,67,King's College London,28.8,13.1,21.2,30.7,17.4,52.5,23.2
69,69,University of Geneva,28.7,22.7,28.4,20.5,27.9,37.7,27.5
70,69,University of Oslo,28.7,18.5,32.8,17.7,16.5,50.6,25.6
71,71,Ecole Normale Superieure - Paris,28.5,51,28.2,12.4,16.7,26.7,58.3
72,71,University of Florida,28.5,17.7,0,37.4,22.5,61,17.6
73,73,Uppsala University,28,18.5,27.6,14.5,24.7,47.9,24.7
74,74,Leiden University,27.8,18.5,9.5,28.9,23,47.9,33.1
75,75,Boston University,27.4,12,11.6,29.8,24.7,50.8,20.9
76,76,University of Helsinki,27.2,13.1,16.4,24,19.9,51.1,28.8
77,77,Technion-Israel Institute of Technology,26.6,20.7,37.9,16.2,16.8,34.6,26.7
