uid,ranking,uniname,Total Score,alumni,award,HiCi,N&S,PUB,PCP
1,1,Harvard University,100.0,100,100,100,100,100,74.8
2,2,Stanford University,73.1,39,78.7,87.1,67.3,70.1,66.9
3,3,"University of California, Berkeley",71.0,67.4,77.1,68.4,71.1,69,53.2
4,4,University of Cambridge,70.2,89.4,91.5,53.8,53.9,65.4,65.5
5,5,Massachusetts Institute of Technology (MIT),69.5,71,80.6,65.7,67.9,62,54.4
6,6,California Institute of Technology,64.8,51.5,69.1,57.1,66.2,47.7,100
7,7,Columbia University,61.7,70.6,67.7,55.7,49.1,69.6,46.5
8,8,Princeton University,60.2,57.8,85.2,61.6,41.5,45.7,61.4
9,9,University of Chicago,57.0,65.8,84.3,49.7,38.6,51.6,41.8
10,10,University of Oxford,56.3,57.6,57.9,48.9,49.8,66.1,45.7
11,11,Yale University,55.2,49.8,43.6,57.6,55.7,62.7,49.5
12,12,Cornell University,53.1,40.5,51.3,54.3,51.7,61.2,39.9
13,13,"University of California, Los Angeles",52.3,23.8,42.8,57.4,50.3,74.5,36.2
14,14,"University of California, San Diego",50.7,15.5,35.9,60.3,53.9,65.2,48
15,15,University of Pennsylvania,49.3,30.9,34.4,57.6,44.1,69,39.8
16,16,University of Washington,48.0,25,31.8,53.3,48.8,73.7,28.1
17,17,University of Wisconsin - Madison,46.7,37.5,35.5,52.3,39.8,66.7,28.6
18,18,"University of California, San Francisco",45.9,0,36.8,53.8,49.7,59.9,46.7
19,19,The Johns Hopkins University,45.2,44.7,27.8,41.7,49.1,67.1,24.9
20,20,The University of Tokyo,45.1,34.1,14.1,42.9,49,79.7,34.1
21,21,University College London,44.6,30.4,32.2,40.4,45.2,66,36.1
22,22,University of Michigan - Ann Arbor,43.8,37.5,0,60.3,41.4,77.3,31.4
23,23,Swiss Federal Institute of Technology Zurich,43.6,35,36.3,35.9,41.8,52.6,57
24,24,Kyoto University,42.7,34.6,34.9,38.4,34.6,67.3,31
25,25,University of Illinois at Urbana-Champaign,42.4,36.2,36.6,42.9,35.9,59.7,26.8
26,26,"The Imperial College of Science, Technology and Medicine",41.9,18.1,37.4,40.4,35.9,61.7,39.4
27,27,University of Toronto,40.5,24.4,19.3,39.1,35.1,78.2,27.5
28,28,"University of Minnesota, Twin Cities",40.4,31.4,16.3,49.7,35.3,67.5,24.6
29,29,Washington University in St. Louis,39.5,21.9,26,39.1,41.3,55,40.1
30,30,Northwestern University,38.7,18.9,18.9,47,34.8,59.1,38.5
31,31,Duke University,37.1,18.1,0,47,41.7,63,40
32,32,New York University,36.9,33.2,24.5,39.7,33.1,52.9,25.8
33,32,Rockefeller University,36.9,19.7,58.6,29,41.9,21.6,37.6
34,34,University of Colorado at Boulder,36.4,14.5,30.8,39.1,39.8,45.2,30.6
35,35,"University of California, Santa Barbara",35.0,0,35.3,41.7,33.8,42.3,35.2
36,36,University of British Columbia,34.4,18.1,18.9,31.6,31.3,64.8,23.7
37,37,"University of Maryland, College Park",34.1,22.5,20,40.4,28.1,53.6,26.1
38,38,The University of Texas at Austin,34.0,18.9,16.7,46.5,27.7,54.3,21.6
39,39,University of North Carolina at Chapel Hill,33.4,10.9,16.3,39.1,27,60.4,28.9
40,40,Pierre and Marie  Curie University - Paris 6,33.3,35.7,23.6,22.9,27.7,59.3,21.7
41,41,The University of Manchester,33.0,23.8,18.9,28.1,28.5,58.3,29.9
42,41,Vanderbilt University,33.0,18.1,29.6,31.6,22.1,50.1,36.2
43,43,University of Copenhagen,32.7,26.8,24.2,26.2,24.8,54.5,33.2
44,43,University of Paris Sud (Paris 11),32.7,32.5,46.2,14.5,20.1,50.3,23.9
45,45,Pennsylvania State University - University Park,32.5,12.2,0,45.9,37.6,56.9,24.1
