uid,ranking,uniname,Total Score,alumni,award,HiCi,N&S,PUB,PCP
1,1,Harvard University,100,100,100,100,100,100,69.2
2,2,"University of California, Berkeley",72.4,67.6,79.3,69,70.9,70.6,54.2
3,3,Stanford University,72.1,40.2,78.4,87.6,68.4,69.7,50.1
4,4,Massachusetts Institute of Technology (MIT),71.4,70.5,80.3,66.8,70.1,61.4,64.5
5,5,University of Cambridge,69.6,88.5,92.6,53.9,54.3,65.7,53.1
6,6,California Institute of Technology,64.4,50.3,68.8,56.7,64.8,46.9,100
7,7,Princeton University,60.8,56.4,84.8,61.1,43.3,44.3,65.5
8,8,Columbia University,60.4,70.7,67.4,56.2,47.6,69.9,32.1
9,9,University of Chicago,57.3,65.5,83.9,50.9,39.8,50.5,40
10,10,University of Oxford,56.4,56.2,57.6,48.8,49.8,68.5,41.1
11,11,Yale University,54.6,48.6,44.9,58.5,56.3,62,37
12,12,Cornell University,52.6,42.3,51.1,54.3,49.9,59.5,38.1
13,13,"University of California, Los Angeles",52.2,27.2,42.6,56.9,49.2,75.1,31.2
14,14,"University of California, San Diego",50,15.1,35.8,60.2,54.6,65.1,37.9
15,15,University of Pennsylvania,49,32.9,34.3,57.1,46.9,68.6,28.5
16,16,University of Washington,48.7,24.4,31.7,53.9,51.6,72.5,28.1
17,17,University of Wisconsin - Madison,46.4,36.5,35.4,51.9,40.2,66.1,25.7
18,18,The Johns Hopkins University,46,43.6,32.1,42,49.4,64,27.2
19,18,"University of California, San Francisco",46,0,40.1,53.4,51.8,60.7,33.6
20,20,The University of Tokyo,45.9,33.3,14.1,42,52,80.4,34.5
21,21,University College London,44.4,32.9,32.1,39.4,44.6,67,31.6
22,22,University of Michigan - Ann Arbor,44.2,36.5,0,59.8,43.4,79.8,26.3
23,23,Swiss Federal Institute of Technology Zurich,43.4,34.1,36.1,36.3,43.6,53.6,47.1
24,24,Kyoto University,43.1,33.7,34.7,38.1,36,67.6,31
25,25,University of Illinois at Urbana-Champaign,42.6,35.4,36.5,42.6,37.1,58.6,27.8
26,26,"The Imperial College of Science, Technology and Medicine",41.9,17.7,37.2,41.4,36.9,62.3,33
27,27,University of Toronto,41.8,23.8,19.2,38.8,38.3,80.3,27.9
28,28,"University of Minnesota, Twin Cities",40.6,30.6,16.2,50.4,36.1,66.6,23.9
29,29,Northwestern University,38.4,18.5,18.9,48.3,35.9,59.7,28.4
30,30,Washington University in St. Louis,38.1,21.3,25.9,38.8,41,54.8,26.7
31,31,New York University,37.8,32.4,24.4,40.7,36.2,54.4,22.4
32,32,"University of California, Santa Barbara",37.1,16,35.1,42,33.3,42.6,37.3
33,32,University of Colorado at Boulder,37.1,14.1,30.7,38.8,41.7,44.7,33.5
34,34,Rockefeller University,36.7,19.2,58.4,28.8,42.3,21,35.6
35,35,Duke University,35.3,17.7,0,45.8,42.2,62,24.4
36,36,University of British Columbia,34.7,17.7,18.9,32.2,30.8,65.7,23.7
37,36,"University of Maryland, College Park",34.7,22,19.9,41.4,29,53.6,26.2
38,38,The University of Texas at Austin,34.5,18.5,16.6,46.1,28.4,54.4,24.7
39,39,Pierre and Marie  Curie University - Paris 6,34.2,34.8,23.5,24.9,28.8,59.9,21.9
40,40,University of Copenhagen,33.4,26.1,24.1,26,26,56.4,32.3
41,41,University of North Carolina at Chapel Hill,33.3,10.7,16.2,39.4,27.7,60.6,23.9
42,42,Karolinska Institute,33.2,26.1,27.2,31.4,20.5,49.9,38.1
43,43,Pennsylvania State University - University Park,32.6,11.9,0,46.6,37.4,56.1,23.2
44,44,The University of Manchester,32.4,23.2,18.9,27.9,28,59.1,23.1
