uid,ranking,uniname,Total Score,alumni,award,HiCi,N&S,PUB,PCP
1,1,Harvard University,100.0,100,100,100,100,100,73
2,2,Stanford University,73.7,42,78.7,86.1,69.6,70.3,65.7
3,3,"University of California, Berkeley",71.9,72.5,77.1,67.9,72.9,69.2,52.6
4,4,University of Cambridge,71.6,93.6,91.5,54,58.2,65.4,65.1
5,5,Massachusetts Institute of Technology (MIT),70.0,74.6,80.6,65.9,68.4,61.7,53.4
6,6,California Institute of Technology,66.4,55.5,69.1,58.4,67.6,50.3,100
7,7,Columbia University,63.2,76,65.7,56.5,54.3,69.6,46.4
8,8,Princeton University,59.5,62.3,80.4,59.3,42.9,46.5,58.9
9,9,University of Chicago,58.4,70.8,80.2,50.8,42.8,54.1,41.3
10,10,University of Oxford,56.4,60.3,57.9,46.3,52.3,65.4,44.7
11,11,Yale University,55.9,50.9,43.6,57.9,57.2,63.2,48.9
12,12,Cornell University,54.3,43.6,51.3,54.5,51.4,65.1,39.9
13,13,"University of California, Los Angeles",52.6,25.6,42.8,57.4,49.1,75.9,35.5
14,14,"University of California, San Diego",50.4,16.6,34,59.3,55.5,64.6,46.6
15,15,University of Pennsylvania,49.0,33.3,34.4,56.9,40.3,70.8,38.7
16,16,University of Washington,48.2,27,31.8,52.4,49,74.1,27.4
17,17,University of Wisconsin - Madison,48.0,40.3,35.5,52.9,43.1,67.2,28.6
18,18,"University of California, San Francisco",46.8,0,36.8,54,53.7,59.8,46.7
19,19,The Johns Hopkins University,46.1,48.1,27.8,41.3,50.9,67.9,24.7
20,20,The University of Tokyo,45.9,33.8,14.1,41.9,52.7,80.9,34
21,21,University of Michigan - Ann Arbor,44.0,40.3,0,60.7,40.8,77.1,30.7
22,22,Kyoto University,43.1,37.2,33.4,38.5,35.1,68.6,30.6
23,23,"The Imperial College of Science, Technology and Medicine",43.0,19.5,37.4,40.6,39.7,62.2,39.4
24,23,University of Toronto,43.0,26.3,19.3,39.2,37.7,77.6,44.4
25,25,University College London,42.8,28.8,32.2,38.5,42.9,63.2,33.8
26,26,University of Illinois at Urbana-Champaign,42.7,39,36.6,44.5,36.4,57.6,26.2
27,27,Swiss Federal Institute of Technology Zurich,39.9,37.7,36.3,35.5,39.9,38.4,50.5
28,28,Washington University in St. Louis,39.7,23.5,26,39.2,43.2,53.4,39.3
29,29,Northwestern University,38.2,20.4,18.9,46.9,34.2,57,36.9
30,30,New York University,38.0,35.8,24.5,41.3,34.4,53.9,25.9
31,30,Rockefeller University,38.0,21.2,58.6,27.7,45.6,23.2,37.8
32,32,Duke University,37.4,19.5,0,46.9,43.6,62,39.2
33,33,"University of Minnesota, Twin Cities",37.0,33.8,0,48.6,35.9,67,23.5
34,34,University of Colorado at Boulder,36.6,15.6,30.8,39.9,38.8,45.7,30
35,35,"University of California, Santa Barbara",35.8,0,35.3,42.6,36.2,42.7,35.1
36,36,University of British Columbia,35.4,19.5,18.9,31.4,31,63.1,36.3
37,37,"University of Maryland, College Park",35.0,24.3,20,40.6,31.2,53.3,25.9
38,38,The University of Texas at Austin,34.4,20.4,16.7,46.9,28,54.8,21.3
39,39,Pierre and Marie  Curie University - Paris 6,33.8,38.4,23.6,23.4,27.2,54.2,33.5
40,39,The University of Texas Southwestern Medical Center at Dallas,33.8,22.8,33.2,30.6,35.5,38,31.9
41,41,Vanderbilt University,33.6,19.5,29.6,31.4,23.8,51,36
42,42,Utrecht University,33.5,28.8,20.9,27.7,29.9,56.6,26.6
43,43,Pennsylvania State University - University Park,32.7,13.2,0,45.1,37.7,58,23.7
44,43,"University of California, Davis",32.7,0,0,46.9,33.1,64.2,30
45,45,"University of California, Irvine",32.5,0,29.4,35.5,28,48.9,32.1
46,46,University of Copenhagen,32.2,28.8,24.2,25.7,25.2,51.4,31.7
47,47,"Rutgers, The State University of New Jersey",32.1,14.4,20,39.9,32.1,44.8,24.2
48,48,The University of Manchester,32.0,25.6,18.9,24.6,28.3,56.9,28.4
49,49,University of Pittsburgh,31.9,23.5,0,39.9,23.6,65.6,28.5
50,50,University of Southern California,31.4,0,26.8,37.1,23.4,52.7,25.9
51,51,University of Florida,31.1,21.2,0,37.1,24.8,65.5,26.5
52,52,University of Paris Sud (Paris 11),30.9,31.3,39.1,14.8,20.4,44.8,30.8
53,53,Karolinska Institute,30.8,28.8,27.3,32.3,16.6,47,24.5
54,53,The University of Edinburgh,30.8,21.2,16.7,26.7,34.2,47,29.3
55,53,University of Munich,30.8,34.8,22.9,14.8,27.1,51.8,31.1
56,56,Technical University Munich,30.6,40.3,23.6,25.7,20.2,44.4,29.9
57,57,The Australian National University,30.4,16.6,12.6,36.3,30,44.7,32.2
58,58,University of North Carolina at Chapel Hill,30.2,11.8,0,37.8,29.3,60.1,27.7
59,58,University of Zurich,30.2,11.8,26.8,22.2,28.3,48.4,31.1
60,60,Carnegie Mellon University,30.0,32.8,32.8,32.3,12,36.7,31
61,61,The Ohio State University - Columbus,29.5,16.6,0,41.9,22,61.2,19.8
62,62,University of Bristol,29.4,10.2,17.9,29.6,26.7,47.3,32.8
63,63,McGill University,29.3,27,0,29.6,24.2,58.7,32.7
64,64,The Hebrew University of Jerusalem,29.0,31.1,20,24.6,23.3,43.6,28.2
65,65,University of Heidelberg,28.9,18.6,27.2,18.2,22.8,48.7,29
66,66,Uppsala University,28.8,24.3,32.2,12.8,23.6,49.1,21
67,67,Osaka University,28.6,11.8,0,24.6,30.4,64,28.5
68,68,Purdue University - West Lafayette,28.3,17.6,16.7,29.6,20.9,51.3,20.2
69,69,University of Oslo,28.2,24.3,33.4,18.2,16.8,42.5,27.9
70,70,Brown University,28.1,17.6,13.6,31.4,28.2,39.9,29.6
71,71,Leiden University,28.0,23.5,15.5,28.7,20.9,45.2,28.2
72,72,The University of Sheffield,27.9,22,14.1,22.2,27.8,46,29.5
73,73,University of Helsinki,27.8,17.6,17.9,19.6,21.7,52.7,28.9
74,74,University of Arizona,27.6,0,0,29.6,37.1,54.6,25.7
75,75,University of Rochester,27.4,31.1,8.9,26.7,21.5,43.1,35.2
76,76,Moscow State University,27.1,51.6,34.2,0,7.5,48.5,31.6
77,76,Tohoku University,27.1,17.6,0,22.2,23.7,63,28.3
78,78,Case Western Reserve University,26.8,38.1,11.5,21,19.6,43,32.2
79,79,University of Melbourne,26.6,14.4,14.1,22.2,18.4,55.1,25
80,80,Michigan State University,26.1,11.8,0,36.3,24.6,51,18.4
81,81,University of Nottingham,26.0,14.4,20,24.6,16.2,44.8,27.3
82,82,University of Basel,25.9,24.3,17.1,21,22.9,35.6,35.1
83,83,Boston University,25.5,14.4,0,30.6,27.1,50.4,17.3
84,83,Ecole Normale Superieure - Paris,25.5,48.5,31.6,12.8,16.8,25.8,25.8
85,83,King's College London,25.5,15.6,23.1,19.6,15.4,45.1,26.6
86,86,Stockholm University,25.3,27.6,29.6,16.6,17.2,36.4,19.4
87,87,McMaster University,25.0,15.6,18.9,22.2,14.3,45.4,25.7
88,87,Rice University,25.0,20.4,21.9,22.2,22.3,30,29.8
89,87,University of Goettingen,25.0,36.3,20,14.8,16.3,39.7,25.2
90,90,Indiana University Bloomington,24.9,13.2,17.9,27.7,20,39.9,18
91,91,Texas A&M University - College Station,24.8,0,0,33.1,23.6,53.7,20.3
92,92,University of Birmingham,24.5,23.5,10.9,22.2,15.4,45.3,26.9
93,93,University of Utah,24.3,0,0,30.6,27.6,47.5,25
94,94,Nagoya University,24.1,0,14.1,18.2,22.3,50,25
95,94,University of Freiburg,24.1,23.5,20.9,16.6,18.9,37.4,23.6
96,96,Arizona State University - Tempe,24.0,0,14.1,24.6,26.1,42.7,18.2
97,97,Lund University,23.9,27.6,0,23.4,19.1,50.7,18
98,97,University of Iowa,23.9,0,0,34,22.2,49.6,21.1
99,99,Tokyo Institute of Technology,23.8,15.6,0,22.2,23.9,46.9,30.4
100,99,University of Bonn,23.8,18.6,20,14.8,16.9,42.6,24.2
101,99,University of Strasbourg,23.8,27.6,22.5,16.6,18.5,32.8,22.9
102,102-150,Aarhus University,0.0,14.4,18.9,7.4,24.3,40.8,23.7
103,102-150,Baylor College of Medicine,0.0,0,0,16.6,32.5,42.9,25.4
104,102-150,Catholic University of Leuven,0.0,0,0,21,16.1,48.5,23.5
105,102-150,Catholic University of Louvain,0.0,13.2,13.6,16.6,12.9,41.5,26.6
106,102-150,Dartmouth College,0.0,22.8,0,21,22.4,32.1,29
107,102-150,Emory University,0.0,0,0,28.7,21,48.6,22.2
